tick,Counter_01_slot_x,Counter_01_slot_y,Counter_01_item,CuttingBoard_02_slot_x,CuttingBoard_02_slot_y,CuttingBoard_02_item,CuttingBoard_02_cut_time_accumulated,CuttingBoard_02_cut_stage,CuttingBoard_03_slot_x,CuttingBoard_03_slot_y,CuttingBoard_03_item,CuttingBoard_03_cut_time_accumulated,CuttingBoard_03_cut_stage,Counter_22_slot_x,Counter_22_slot_y,Counter_22_item,Counter_23_slot_x,Counter_23_slot_y,Counter_23_item,Counter_24_slot_x,Counter_24_slot_y,Counter_24_item,Counter_25_slot_x,Counter_25_slot_y,Counter_25_item,Dispenser_40_slot_x,Dispenser_40_slot_y,Dispenser_40_item,Dispenser_50_slot_x,Dispenser_50_slot_y,Dispenser_50_item,Dispenser_60_slot_x,Dispenser_60_slot_y,Dispenser_60_item,Delivery_63_slot_x,Delivery_63_slot_y,Delivery_63_item,Delivery_64_slot_x,Delivery_64_slot_y,Delivery_64_item,Dispenser_71_slot_x,Dispenser_71_slot_y,Dispenser_71_item,Delivery_73_slot_x,Delivery_73_slot_y,Delivery_73_item,Delivery_74_slot_x,Delivery_74_slot_y,Delivery_74_item,aa7ec8c3b9989f1a_score,player_013421bd_x,player_013421bd_y,player_013421bd_move_target,player_013421bd_item,player_013421bd_score,player_013421bd_cut_speed,player_013421bd_speed,player_0080210c_x,player_0080210c_y,player_0080210c_move_target,player_0080210c_item,player_0080210c_score,player_0080210c_cut_speed,player_0080210c_speed
431,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,56.0,40.0,,,0,0.2,30.0
432,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,56.0,40.0,,,0,0.2,30.0
433,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,56.0,40.0,,,0,0.2,30.0
434,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,56.0,40.0,,,0,0.2,30.0
435,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,56.0,40.0,,,0,0.2,30.0
436,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,56.0,40.0,,,0,0.2,30.0
437,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,56.0,40.0,,,0,0.2,30.0
438,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,56.0,40.0,,,0,0.2,30.0
439,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,57.250000000000284,40.0,,,0,0.2,30.0
440,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,58.50000000000057,40.0,,,0,0.2,30.0
441,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.0,,,0,1.0,12.0,59.75000000000085,40.0,,,0,0.2,30.0
442,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.49999999999955,,,0,1.0,12.0,61.00000000000114,40.0,,,0,0.2,30.0
443,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,72.99999999999909,,,0,1.0,12.0,62.25000000000142,40.0,,,0,0.2,30.0
444,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,73.49999999999864,,,0,1.0,12.0,63.500000000001705,40.0,,,0,0.2,30.0
445,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,73.99999999999818,,,0,1.0,12.0,64.75000000000199,40.0,,,0,0.2,30.0
446,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,74.49999999999773,,,0,1.0,12.0,66.00000000000227,40.0,,,0,0.2,30.0
447,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,74.99999999999727,,,0,1.0,12.0,67.25000000000256,40.0,,,0,0.2,30.0
448,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,75.49999999999682,,,0,1.0,12.0,68.50000000000284,40.0,,,0,0.2,30.0
449,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,75.99999999999636,,,0,1.0,12.0,69.75000000000313,40.0,,,0,0.2,30.0
450,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,76.49999999999591,,,0,1.0,12.0,71.00000000000341,40.0,,,0,0.2,30.0
451,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,76.99999999999545,,,0,1.0,12.0,72.12016826116314,39.68378443342246,,,0,0.2,30.0
452,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,77.499999999995,,,0,1.0,12.0,73.0095245421619,38.80540785959596,,,0,0.2,30.0
453,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,77.99999999999454,,,0,1.0,12.0,73.89888082316065,37.92703128576946,,,0,0.2,30.0
454,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,78.49999999999409,,,0,1.0,12.0,74.7882371041594,37.04865471194296,,,0,0.2,30.0
455,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,78.99999999999363,,,0,1.0,12.0,75.67759338515816,36.17027813811646,,,0,0.2,30.0
456,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,79.49999999999318,,,0,1.0,12.0,76.56694966615692,35.29190156428996,,,0,0.2,30.0
457,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,79.99999999999272,,,0,1.0,12.0,77.45630594715567,34.41352499046346,,,0,0.2,30.0
458,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,80.49999999999227,,,0,1.0,12.0,78.34566222815442,33.53514841663696,,,0,0.2,30.0
459,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,80.99999999999181,,,0,1.0,12.0,79.23501850915318,32.65677184281046,,,0,0.2,30.0
460,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,81.49999999999136,,,0,1.0,12.0,80.12437479015193,31.778395268983957,,,0,0.2,30.0
461,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,81.9999999999909,,,0,1.0,12.0,81.01373107115069,30.900018695157552,,,0,0.2,30.0
462,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,82.49999999999045,,,0,1.0,12.0,81.90308735214953,30.021642121331407,,,0,0.2,30.0
463,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,82.99999999999,,,0,1.0,12.0,82.79244363314886,29.143265547505262,,,0,0.2,30.0
464,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,83.49999999998954,,,0,1.0,12.0,83.68179991414819,28.264888973679117,,,0,0.2,30.0
465,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,83.99999999998909,,,0,1.0,12.0,84.57115619514751,27.386512399852972,,,0,0.2,30.0
466,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,84.49999999998863,,,0,1.0,12.0,85.46051247614683,26.508135826026827,,,0,0.2,30.0
467,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,84.99999999998818,,,0,1.0,12.0,86.34986875714615,25.62975925220068,,,0,0.2,30.0
468,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,85.49999999998772,,,0,1.0,12.0,87.23922503814548,24.751382678374537,,,0,0.2,30.0
469,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,85.99999999998727,,,0,1.0,12.0,88.0,24.0,,,0,0.2,30.0
470,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,86.49999999998681,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
471,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,86.99999999998636,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
472,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.0,87.4999999999859,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
473,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.137048156007157,87.94371843039431,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
474,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.488453684230638,88.29940671349351,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
475,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,24.83985921245412,88.65509499659271,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
476,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,25.1912647406776,89.0107832796919,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
477,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,25.54267026890108,89.3664715627911,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
478,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,25.89407579712456,89.7221598458903,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
479,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,26.24548132534804,90.0778481289895,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
480,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,26.596886853571522,90.4335364120887,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
481,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,26.948292381795003,90.7892246951879,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
482,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,27.299697910018484,91.1449129782871,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
483,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,27.651103438241964,91.5006012613863,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
484,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,28.002508966465445,91.85628954448549,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
485,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,28.353914494688926,92.21197782758469,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
486,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,28.705320022912407,92.56766611068389,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
487,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.056725551135887,92.92335439378309,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
488,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.408131079359368,93.27904267688228,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
489,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.75953660758285,93.63473095998148,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
490,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,30.11094213580633,93.99041924308068,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
491,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,30.46234766402981,94.34610752617988,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
492,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,30.81375319225329,94.70179580927908,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
493,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,31.16515872047677,95.05748409237827,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
494,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,31.516564248700252,95.41317237547747,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
495,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,31.867969776923733,95.76886065857667,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
496,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,31.710844472716804,95.29419062710406,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
497,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,31.553719168509875,94.81952059563145,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
498,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,31.396593864302925,94.34485056415883,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
499,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,31.239468560095684,93.87018053268622,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
500,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,31.082343255888443,93.39551050121361,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
501,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,30.9252179516812,92.920840469741,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
502,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,30.76809264747396,92.44617043826838,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
503,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,30.61096734326672,91.97150040679577,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
504,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,30.453842039059477,91.49683037532316,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
505,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,30.296716734852236,91.02216034385054,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
506,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,30.139591430644995,90.54749031237793,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
507,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.982466126437753,90.07282028090532,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
508,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.825340822230512,89.5981502494327,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
509,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.66821551802327,89.1234802179601,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
510,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.51109021381603,88.64881018648748,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
511,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.353964909608788,88.17414015501487,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
512,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.196839605401546,87.69947012354226,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
513,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,29.03971430119431,87.22480009206964,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
514,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,28.882588996987064,86.75013006059703,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
515,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,28.725463692779826,86.27546002912442,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
516,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,28.568338388572585,85.8007899976518,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
517,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,28.411213084365343,85.32611996617919,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
518,0,1,,0,2,,0.0,0,0,3,,0,0,2,2,plate,2,3,,2,4,,2,5,,4,0,tomato,5,0,tomato,6,0,plate,6,3,,6,4,,7,1,plate,7,3,,7,4,,0,28.254087780158102,84.85144993470658,,,0,1.0,12.0,88.0,24.0,,tomato,0,0.2,30.0
